ts,temp,hum,mp_cpu,cpu_total,cpu_core0,cpu_core1,mp_used_kb,mp_free_kb,mp_total_kb,idf_used_kb,idf_free_kb,idf_total_kb,temp_zscore_anomaly,temp_ewma_anomaly,temp_rulebased_anomaly,hum_zscore_anomaly,hum_ewma_anomaly,hum_rulebased_anomaly
2026-01-25 12:13:46,21.3,56.0,0.0,0.0,0.0,0.0,65,73,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:13:48,21.4,56.6,34.0,22.2,5.1,34.0,75,62,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:13:50,21.4,56.5,27.2,17.1,3.5,27.2,74,63,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:13:52,21.4,56.3,28.2,18.4,4.3,28.2,70,67,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:13:54,21.4,56.4,27.6,17.3,3.5,27.6,70,68,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:13:56,21.4,56.4,27.7,18.1,4.2,27.7,69,69,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:13:58,21.4,56.2,27.8,18.1,4.2,27.8,68,69,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:00,21.4,56.0,27.7,17.8,3.9,27.7,67,70,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:02,21.4,55.8,28.0,18.7,4.7,28.0,66,71,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:04,21.4,55.7,27.7,18.1,4.2,27.7,65,72,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:06,21.4,55.6,27.5,17.0,3.3,27.5,65,73,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:08,21.5,55.6,27.3,17.0,3.3,27.3,64,74,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:10,21.5,55.4,27.0,17.2,3.7,27.0,63,74,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:12,21.4,55.5,27.3,17.7,4.0,27.3,62,75,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:14,21.5,55.5,27.0,16.2,2.7,27.0,61,76,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:16,21.5,55.5,27.0,17.4,3.9,27.0,61,77,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:18,21.5,55.8,27.4,18.1,4.4,27.4,60,78,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:14:20,21.5,55.9,27.0,16.5,3.0,27.0,59,78,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:14:22,21.5,55.9,27.2,17.8,4.2,27.2,58,79,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:14:24,21.5,55.8,26.8,16.6,3.2,26.8,57,80,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:26,21.5,55.8,26.7,17.5,4.1,26.7,57,81,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:28,21.5,56.0,26.7,17.0,3.6,26.7,56,82,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:30,21.5,56.1,27.4,17.3,3.6,27.4,55,83,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:32,21.5,56.2,27.1,18.3,4.8,27.1,54,83,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:34,21.5,56.0,27.1,17.8,4.3,27.1,53,84,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:36,21.5,56.0,26.9,17.4,4.0,26.9,52,85,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:38,21.5,55.9,26.7,17.8,4.5,26.7,52,86,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:40,21.5,55.9,27.1,17.5,4.0,27.1,51,87,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:42,21.5,56.0,26.8,16.9,3.5,26.8,50,87,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:44,21.5,55.9,26.7,17.1,3.8,26.7,49,88,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:46,21.5,55.9,27.1,17.4,3.9,27.1,48,89,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:48,21.5,55.9,27.0,18.0,4.5,27.0,89,49,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:50,21.6,55.9,27.0,17.7,4.2,27.0,74,64,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:14:52,21.6,55.9,27.8,17.7,3.8,27.8,70,67,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:54,21.6,55.9,27.7,17.5,3.6,27.7,70,68,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:56,21.6,55.9,27.6,17.5,3.7,27.6,69,69,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:14:58,21.6,56.0,27.6,17.7,3.9,27.6,68,70,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:00,21.6,56.0,27.9,18.1,4.2,27.9,67,70,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:02,21.6,56.0,27.7,18.7,4.8,27.7,66,71,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:04,21.6,55.9,27.6,17.7,3.9,27.6,65,72,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:06,21.6,55.8,27.4,17.1,3.4,27.4,65,73,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:08,21.6,55.7,27.1,17.4,3.8,27.1,64,74,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:15:10,21.6,55.6,27.4,17.6,4.0,27.4,63,74,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:12,21.7,55.5,27.0,16.9,3.4,27.0,62,75,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:14,21.7,55.5,27.1,17.4,3.9,27.1,61,76,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:16,21.7,55.4,27.5,17.3,3.5,27.5,61,77,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:18,21.7,55.3,27.3,17.8,4.1,27.3,60,78,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:20,21.7,55.2,27.4,18.0,4.3,27.4,59,78,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:22,21.7,55.2,26.9,16.5,3.1,26.9,58,79,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:24,21.7,55.2,26.8,17.3,3.9,26.8,57,80,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:26,21.7,55.1,26.8,17.5,4.1,26.8,57,81,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:28,21.7,55.1,27.0,16.9,3.4,27.0,56,82,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:15:30,21.7,54.9,26.7,17.1,3.7,26.7,55,83,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:32,21.7,54.9,27.0,17.9,4.4,27.0,54,83,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:34,21.7,54.9,27.1,18.0,4.4,27.1,53,84,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:36,21.8,54.8,26.7,16.6,3.3,26.7,52,85,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:38,21.8,54.8,27.1,18.0,4.5,27.1,52,86,138,302,69,371,False,False,False,False,False,False
2026-01-25 12:15:40,21.8,54.8,26.6,17.2,3.9,26.6,51,87,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:15:42,21.8,54.7,26.8,16.6,3.2,26.8,50,87,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:15:44,21.8,54.7,26.9,17.3,3.8,26.9,49,88,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:15:46,21.8,54.7,27.1,17.1,3.5,27.1,48,89,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:15:48,21.8,54.7,27.3,18.0,4.4,27.3,89,49,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:15:50,21.8,54.6,26.7,17.8,4.4,26.7,74,64,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:15:52,21.8,54.6,27.8,17.0,3.2,27.8,70,67,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:15:54,21.9,54.6,27.8,17.8,3.9,27.8,70,68,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:15:56,21.8,54.6,27.7,17.8,3.9,27.7,69,69,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:15:58,21.9,54.5,27.8,17.1,3.2,27.8,68,70,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:00,21.9,54.5,27.7,18.7,4.8,27.7,67,70,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:02,21.9,54.4,27.7,18.4,4.5,27.7,66,71,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:04,21.9,54.4,27.5,17.2,3.5,27.5,65,72,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:06,21.9,54.5,27.3,17.7,4.0,27.3,65,73,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:08,21.9,54.3,27.3,17.4,3.8,27.3,64,74,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:10,21.9,54.3,27.2,17.7,4.1,27.2,63,74,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:12,21.9,54.3,27.2,17.4,3.8,27.2,62,75,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:14,21.9,54.3,27.1,17.4,3.8,27.1,61,76,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:16,21.9,54.3,27.2,17.4,3.8,27.2,61,77,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:18,21.9,54.3,27.5,17.8,4.0,27.5,60,78,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:20,21.9,54.3,27.2,17.7,4.2,27.2,59,78,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:22,22.0,54.2,27.0,16.7,3.2,27.0,58,79,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:24,22.0,54.3,26.8,17.1,3.8,26.8,57,80,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:26,22.0,54.2,27.1,17.2,3.7,27.1,57,81,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:28,22.0,54.2,27.4,16.7,3.0,27.4,56,82,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:30,22.0,54.2,26.7,17.2,3.8,26.7,55,83,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:32,22.0,54.1,27.2,18.4,4.8,27.2,54,83,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:34,22.0,54.1,27.0,16.9,3.4,27.0,53,84,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:36,22.0,54.2,27.2,18.1,4.5,27.2,52,85,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:38,22.0,54.2,26.6,17.4,4.1,26.6,52,86,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:40,22.0,54.2,26.7,17.2,3.9,26.7,51,87,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:42,22.0,54.1,26.8,17.4,4.0,26.8,50,87,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:44,22.1,54.2,26.8,16.6,3.2,26.8,49,88,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:46,22.1,54.1,27.2,17.7,4.1,27.2,48,89,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:48,22.1,54.1,27.1,17.9,4.4,27.1,89,49,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:50,22.1,54.1,26.7,17.5,4.1,26.7,74,64,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:52,22.1,54.1,27.9,17.4,3.4,27.9,70,67,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:54,22.1,54.0,27.8,18.1,4.2,27.8,70,68,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:56,22.1,54.0,27.8,17.6,3.6,27.8,69,69,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:16:58,22.1,54.0,27.5,17.0,3.2,27.5,68,70,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:17:00,22.1,54.0,27.7,18.8,5.0,27.7,67,70,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:17:02,22.1,53.9,27.9,18.8,4.9,27.9,66,71,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:17:04,22.1,53.9,27.1,17.1,3.5,27.1,65,72,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:17:06,22.1,53.8,27.8,18.1,4.2,27.8,64,73,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:17:08,22.1,53.8,27.2,17.5,3.9,27.2,63,74,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:17:10,22.2,53.8,27.1,17.2,3.6,27.1,63,75,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:17:12,22.2,53.7,27.1,17.6,4.1,27.1,62,76,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:17:14,22.2,53.7,27.0,16.9,3.4,27.0,61,76,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:17:16,22.2,53.8,27.2,17.8,4.2,27.2,60,77,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:17:18,22.2,53.7,27.4,18.6,4.9,27.4,59,78,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:17:20,22.2,53.7,27.2,17.4,3.8,27.2,59,79,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:17:22,22.2,53.6,27.0,17.5,4.0,27.0,58,80,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:17:24,22.2,53.7,26.9,17.8,4.3,26.9,57,80,138,301,70,371,False,False,False,False,False,False
2026-01-25 12:17:26,22.2,53.7,26.7,17.1,3.8,26.7,56,79,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:28,22.2,53.7,26.7,17.0,3.7,26.7,55,80,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:30,22.3,53.7,26.7,16.9,3.5,26.7,54,81,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:32,22.2,53.7,26.9,18.3,4.8,26.9,54,82,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:34,22.3,53.6,27.2,17.0,3.4,27.2,53,83,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:36,22.3,53.7,26.7,17.1,3.8,26.7,52,83,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:38,22.3,53.6,26.6,17.2,3.9,26.6,51,84,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:40,22.3,53.6,26.7,17.0,3.7,26.7,50,85,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:42,22.3,53.6,26.9,17.6,4.2,26.9,50,86,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:44,22.3,53.7,27.1,16.9,3.3,27.1,49,87,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:46,22.3,53.7,27.2,17.8,4.2,27.2,48,87,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:48,22.3,53.7,27.8,18.7,4.9,27.8,88,47,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:50,22.3,53.8,26.5,17.0,3.8,26.5,73,62,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:52,22.3,53.8,28.1,18.2,4.1,28.1,70,65,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:54,22.3,53.8,28.2,18.3,4.2,28.2,70,66,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:56,22.3,53.8,27.6,16.6,2.8,27.6,69,67,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:17:58,22.3,54.0,27.6,17.8,3.9,27.6,68,68,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:18:00,22.4,54.5,27.8,18.5,4.6,27.8,67,68,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:18:02,22.4,54.7,27.7,18.6,4.7,27.7,66,69,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:18:04,22.4,54.6,27.9,17.4,3.5,27.9,65,70,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:18:06,22.4,54.6,27.4,17.6,3.9,27.4,65,71,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:18:08,22.4,54.4,27.3,17.7,4.0,27.3,64,72,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:18:10,22.4,54.3,27.1,16.5,3.0,27.1,63,72,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:18:12,22.4,54.1,27.0,17.5,4.0,27.0,62,73,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:18:14,22.4,54.1,27.3,17.0,3.4,27.3,61,74,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:18:16,22.4,54.8,27.1,17.6,4.0,27.1,61,75,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:18:18,22.4,55.1,27.4,18.1,4.4,27.4,60,76,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:18:20,22.5,55.1,27.0,16.4,2.9,27.0,59,77,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:18:22,22.5,54.9,27.1,17.7,4.1,27.1,58,78,136,302,69,371,False,False,False,False,False,False
2026-01-25 12:18:24,22.5,54.7,26.6,17.3,4.0,26.6,57,79,136,302,69,371,False,False,False,False,False,False
