ts,temp,hum,mp_cpu,cpu_total,cpu_core0,cpu_core1,mp_used_kb,mp_free_kb,mp_total_kb,idf_used_kb,idf_free_kb,idf_total_kb,temp_zscore_anomaly,temp_ewma_anomaly,temp_rulebased_anomaly,hum_zscore_anomaly,hum_ewma_anomaly,hum_rulebased_anomaly
2026-01-27 16:00:24,22.4,54.1,0.0,0.0,0.0,0.0,76,62,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:26,22.5,55.1,27.4,19.8,6.1,27.4,68,69,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:28,22.5,55.0,26.5,17.2,4.0,26.5,67,70,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:30,22.5,54.8,26.6,17.5,4.2,26.6,67,70,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:32,22.5,54.7,26.4,17.1,3.9,26.4,66,71,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:34,22.5,54.6,26.6,17.2,3.9,26.6,66,72,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:36,22.6,54.6,26.4,17.3,4.1,26.4,65,72,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:38,22.6,54.5,26.4,17.0,3.8,26.4,64,73,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:40,22.6,54.4,26.6,18.1,4.8,26.6,63,74,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:42,22.6,54.4,26.3,17.0,3.8,26.3,63,75,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:44,22.6,54.3,26.3,17.0,3.9,26.3,62,75,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:46,22.6,54.3,27.0,17.3,3.8,27.0,61,76,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:48,22.6,54.3,26.3,17.3,4.1,26.3,61,77,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:50,22.6,54.2,26.3,17.2,4.1,26.3,60,77,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:52,22.6,54.2,26.5,17.2,4.0,26.5,59,78,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:54,22.6,54.1,27.0,17.3,3.8,27.0,59,79,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:56,22.6,54.1,26.7,18.0,4.7,26.7,58,75,134,302,69,371,False,False,False,False,False,False
2026-01-27 16:00:58,22.6,54.1,26.7,17.7,4.3,26.7,57,80,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:00,22.6,54.1,26.4,17.1,3.9,26.4,56,81,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:02,22.6,54.1,26.4,17.1,3.8,26.4,56,82,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:04,22.6,54.0,26.5,17.3,4.0,26.5,96,41,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:06,22.6,54.1,27.6,17.9,4.1,27.6,78,60,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:08,22.6,54.1,27.5,17.7,4.0,27.5,77,61,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:10,22.6,54.0,27.2,18.3,4.7,27.2,76,61,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:12,22.6,54.0,27.5,17.9,4.1,27.5,75,62,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:14,22.6,54.1,27.0,17.3,3.8,27.0,75,63,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:16,22.6,54.1,26.9,17.3,3.8,26.9,74,64,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:18,22.6,54.1,26.9,17.5,4.1,26.9,73,65,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:20,22.6,54.0,26.9,17.8,4.4,26.9,72,65,138,303,68,371,False,False,False,False,False,False
2026-01-27 16:01:22,22.6,54.1,27.1,17.8,4.3,27.1,71,66,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:24,22.6,54.0,26.7,17.2,3.8,26.7,71,67,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:26,22.6,54.1,25.9,17.4,4.5,25.9,70,68,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:28,22.6,54.1,26.7,17.4,4.1,26.7,69,68,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:30,22.6,54.0,26.5,17.2,3.9,26.5,68,69,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:32,22.6,54.1,26.5,17.1,3.9,26.5,67,70,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:34,22.6,54.1,26.5,17.2,3.9,26.5,67,71,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:36,22.6,54.0,26.5,17.6,4.3,26.5,66,71,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:38,22.5,54.1,26.4,17.0,3.8,26.4,65,72,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:40,22.5,54.1,26.4,17.7,4.5,26.4,64,73,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:42,22.6,54.1,26.6,17.3,3.9,26.6,64,74,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:44,22.6,54.1,26.3,17.0,3.9,26.3,63,75,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:46,22.6,54.0,26.3,16.7,3.5,26.3,62,75,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:48,22.6,54.1,26.2,17.1,4.0,26.2,61,76,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:50,22.6,54.0,26.5,17.3,4.0,26.5,60,77,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:52,22.6,54.0,27.2,17.6,4.0,27.2,60,78,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:54,22.6,54.1,26.5,17.2,4.0,26.5,59,78,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:56,22.6,54.1,26.9,18.1,4.6,26.9,58,79,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:01:58,22.6,54.0,26.7,17.3,4.0,26.7,57,80,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:02:00,22.6,54.1,26.7,17.6,4.2,26.7,57,81,138,302,69,371,False,False,False,False,False,False
2026-01-27 16:02:02,22.6,54.0,26.6,18.1,4.8,26.6,97,41,138,302,69,371,False,False,False,False,False,False
